"Salary","NBA_DraftNumber","Age","MP","PER","TS%","DRB%","VORP","G","OBPM","DBPM","BPM","OWS","DWS","WS","AST%","STL%"
28.4787359198292,49,27,1289,19.4,0.623,28,2,73,-0.2,4.2,4,2.3,1.9,4.2,16.9,1.3
43.7266642075845,24,31,2387,19.6,0.6,16.1,4.7,74,5.5,0.4,5.8,6.8,2.9,9.7,30.4,1.7
22.5809740060546,27,22,2383,14.4,0.551,17.4,0.5,76,-0.2,-1.1,-1.2,1.7,2.3,4,9.2,1
32.0569034216688,51,36,1516,13.5,0.651,10.8,0.8,70,2.2,-2.2,0.1,2.8,0.6,3.4,8,0.9
12.3651486743296,62,26,409,9.8,0.439,17.9,0,29,-3.8,2.2,-1.7,0,0.5,0.4,15.1,2
24.729318950628,30,24,1906,15.7,0.579,17.8,2.9,71,-0.4,4.4,4,2.2,3.7,5.9,14.7,2.9
29.0926417006132,4,22,1553,20.4,0.539,18.1,0.5,48,-0.4,-0.2,-0.6,1.4,1.8,3.2,6.3,1.1
28.4160454471907,5,23,1525,14.5,0.488,14.3,0.8,52,-1.4,1.4,0,-1,1.9,0.9,33.3,3.3
33.362746000757,23,28,1391,17.5,0.566,27.8,0.8,71,-0.9,1.2,0.4,2.3,1.5,3.8,9.7,1.7
39.3760966595387,11,27,2369,16.1,0.601,10.3,1,69,1.8,-2.2,-0.4,3,1.8,4.9,11.5,1.1
